//-----------------------------------------------------------
//            Counter-Strike
//-----------------------------------------------------------
// In this file you can modify the sound the textures give
// when the player walks on them
//
// Location: X:\halflife\valve\sound\materials.txt
//
// NOTE: only the first 12 characters of the texture name are used
// NOTE: a maximum of 512 textures may be tagged in this file
//
//  'M' metal
//  'V' ventillation
//  'D' dirt
//  'S' slosh liquid 
//  'T' tile
//  'G' grate (Concrete is the default)
//  'W' wood
//  'P' computer
//  'Y' glass
//  'N' snow
//  'X' grass

N snow
N A_Snow
N znow1

// AS_OILRIG

G TSBgVent
M TSCaution
M TSCprFlr
M TSCrteSd
M TSCrteTp
G TSFlrGrt
M TSHull2
M TSHull4
M TSHull7
M TSHull8
M TSHull9
M TSIBeam
G TSNoSkd
M TSOily
M TSPlainRed
D TSRfGrvl
G TSShutters
G TSVent

//-----------------------------------------------------------
// plane.wad
//-----------------------------------------------------------
M 747wall_x4
M -1a747plane_x4
M -0a747plane_x4
M 747inv_block
M planegen1
M pl_out_shell4a
M pl_out_shell3
M pl_out_shell_dr
M overhead_x4
W curtain3
W blueback_x4
W chair1_x4
W planeseatsideba

//-----------------------------------------------------------
// itsItaly.wad
//-----------------------------------------------------------
D brickPath
W 64crate0
W 64crate1
W 64crateTop
W bigCrate0
W bigCrate1
W bigCrate2
W bigCrateTop
W chestDrawers
W crateBox
W crateBoxLabel
W oldWood
W panelWood
W wBarrelSide
W wBarrelTop
W wdnDrawer
W wdbDrawers

//-----------------------------------------------------------
// cs_bdog.wad
//-----------------------------------------------------------
M TrainTop01
M TrainTop02
M DumpsterFront
M DumpsterSide
D Tracks01
D Tracks02
D Gravel01
D Gravel02
D GravelGrass01
D GravelGrass02
D GravelGrass03
D GravelGrass04
D Grass01
W Wood01


//-----------------------------------------------------------
// cs.wad
//-----------------------------------------------------------
V {cstrike_OE4Ven
W -0cstrike_FJ2Dk
M -0cstrike_ME1Pl
M -0cstrike_ME2Ri
T -0cstrike_MH5Tl
W -0cstrike_MJ2Sg
M -0cstrike_WE1Mt
M -0cstrike_WE4Al
W -1cstrike_FJ2Dk
M -1cstrike_ME1Pl
M -1cstrike_ME2Ri
T -1cstrike_MH5Tl
W -1cstrike_MJ2Sg
M -1cstrike_WE1Mt
M -1cstrike_WE4Al
M -2cstrike_ME1Pl
M -2cstrike_WE1Mt
M -3cstrike_ME1Pl
M -4cstrike_ME1Pl
M -5cstrike_ME1Pl
M -6cstrike_ME1Pl
M cstrike_CE2XCng
T cstrike_CH3Tile
W cstrike_CJ2Beam
M cstrike_DE6Horz
M cstrike_DE6Vert
W cstrike_DJ2Old
G cstrike_FE2Gtng
M cstrike_FE2Sqrs
M cstrike_FE4Crgd
T cstrike_FH4WtTl
W cstrike_FJ2Dock
D cstrike_FT2Dirt
D cstrike_FT2Mud
D cstrike_FT4Apht
M cstrike_ME1Clng
G cstrike_ME1Grat
M cstrike_ME2DRst
M cstrike_ME2RstW
M cstrike_ME4DCln
M cstrike_ME4Greb
M cstrike_ME4Metl
G cstrike_ME4Radr
M cstrike_ME7Caut
M cstrike_OE1BxSd
M cstrike_OE1BxTp
M cstrike_OE1LgBm
M cstrike_OE1SmBm
M cstrike_OE2StrR
V cstrike_OE2Vent
M cstrike_OE4FnVt
M cstrike_OE4Pnl
M cstrike_OE4PnlH
V cstrike_OE4Vent
G cstrike_OE6TnkF
G cstrike_OE6TnkS
M cstrike_WE2Ribd

//------------------------------------------------------------
// cs_dust.wad
//------------------------------------------------------------

M MltryCrteSd
M MltryCrteSd2
M MltryCrteTp
W SandCrtLrgSd
W SandCrtLrgTp
W SandCrtSmSd
W SandCrtSmTp
W SandWllDoor2
W SandWllDoor
D -0Sand
D -1Sand
D -2Sand
D -3Sand


//------------------------------------------------------------
// de_aztec.wad
//------------------------------------------------------------

D -0AzDirt
D -1AzDirt
D -2AzDirt
D -3AzDirt
X AzGrass
W WoodCrateLid
W WoodCrateLidSm
W WoodCrateSd
W WoodCrateSdSm


//-----------------------------------------------------------
// cs_office.wad
//-----------------------------------------------------------

M brdly3_back1
M brdly3_btile1
M brdly3_frnt1
M brdly3_side1
M brdly3_top1
W Core_Urban_026
W Core_Urban_027
W Core_Urban_066
W Core_Urban_086
W Core_Urban_090
W Core_Urban_143
W Core_Urban_144
Y Core_Urban_198
W of_crate01a
W of_crate01b
W of_crate01c
W of_crate01d
W of_crate02a
W of_crate02b
M of_crate03a
M of_crate03b
M of_crate03c
M of_crate03d
M of_crate03top
N snow_rockcliff4

//------------------------------------------------------------
// chateau.wad
//------------------------------------------------------------

G {cxchana
G {cxchanb
M {cxcnstrctpoles
D {cxcrtna
D {cxcrtnd
D {cxcrtnf
M {cxgate
M {fence2
W cxbarrela
D cxbooksa
D cxbooksb
D cxbooksc
D cxbooksd
D cxbookse
D cxbooksf
N cxbrusha
N cxbrushb
D cxcnstrcttarp
D cxcnstrcttarpb
W cxcnstrctwooda
W cxcnstrctwoodb
D cxcrptb
D cxcrptc
D cxcrptd
W cxdecwdc
W cxdecwdd
W cxdrc
W cxdrd
D cxgrounda
D cxgroundc
D cxgroundd
D cxgroundh
D cxgroundk
T cxmarblec
T cxmarblee
T cxmrbla
W cxroofa
D cxruga
G cxsolida
G cxsolidb
G cxsolidc
W cxstairsd
W cxstairse
W cxstairsf
D cxtapa
D cxtapb
D cxtapc
D cxtapd
D cxtape
D cxwllbooksa
W cxwllh
W cxwooda
W cxwoodb
W cxwoodd
W cxwoodf
W cxwoodh
W cxwoodi
W cxwoodj
W cxwoodk
W cxwoodl
W cxwoodm

//------------------------------------------------------------
// de_piranesi.wad
//------------------------------------------------------------

M {pi_benchside
W {pi_chairback
M {pi_orrery01
M {pi_orrery02
M {pi_orrery03
M {pi_railing
M {pi_scaffold
M {pi_window
W pi_art1
W pi_art2
W pi_art3
W pi_art4
W pi_barrel
W pi_barrelt
W pi_bcase
W pi_bigdoor
D pi_brusha
D pi_brushb
M pi_buckets
S pi_buckett
W pi_chairleg
W pi_chairtop
T pi_floorst1
T pi_floorst1g
T pi_floorst4
T pi_floorst4g
T pi_floorst5
W pi_floorwd1
W pi_floorwd2
W pi_floorwd3
M pi_grnmetal
M pi_grnmetalp
M pi_grnmetalt
X pi_ground
M pi_lantern
M pi_motor
M pi_orrery04
M pi_orrery05
M pi_orrery06
M pi_orrery07
D pi_potb
T pi_roof
T pi_roofedge
D pi_rug1
D pi_rug2
D pi_rug3
D pi_rug4
D pi_rug5
D pi_rug6
M pi_rust
M pi_scaffold2
W pi_secretf
W pi_secrets
T pi_signexc
T pi_signexd
T pi_steptop1
T pi_steptop1d
M pi_sundial
Y pi_ticketwnd
W pi_treetr1
W pi_treetr2
W pi_wood1
W pi_wood2
W pi_wood3
W pi_wood4
W pi_wood5
W pi_woodceil

//------------------------------------------------------------
// de_airstrip.wad
//------------------------------------------------------------

W {ikcanopt
W {ikcanopy
W {ikcnp1
G {ikfencea
G {ikfenceb
G {ikfencec
W {ikjungwt
W {ikjungwt2
W {ikjungwt3
W {ikjungwt4
W {ikvinea
W {ikvineb
D {ikvinec
W {ikvined
W -0ikjungw
W -1ikjungw
W -2ikjungw
M ikbarls1
M ikbarls2
M ikbarls3
M ikbarls4
M ikbarlt1
M ikbarlt2
M ikbarlt3
M ikbarlt4
W ikcratea
W ikcrateb
W ikcratec
W ikcrated
W ikcratee
W ikcratef
W ikcrateg
W ikcrateh
M ikftanks
M ikftankt
X ikgrndj
D ikgrndjt
D ikgrndrt
D ikgrndrw
D ikgrnds
D ikgrndt
D ikgrndt2
D ikgrndt3
D ikgrndte
D ikgrndte2
D ikgrndte3
W ikjungw
D ikjungwg
M ikmetla
M ikmetlb
M ikmetlc
W ikvines


//-----------------------------------------------------------
// Valve's Textures
//-----------------------------------------------------------
V DUCT_FLR01
V DUCT_FLR01A
V DUCT_FLR02A
V DUCT_VNT
V DUCT_VNT2
V DUCT_WALL01
V DUCT_WALL02
V DUCT_WALL03
V DUCT_WALL04
V SILO2_COR
D OUT_GRVL1
D OUT_GRVL2
D OUT_GRVL2B
D OUT_GRVL3
D OUT_MUD1
D OUT_SND1
